Latitude,Longitude,Empty Slots,Free Bikes,Renting Bikes,Returning Bikes,Rating,Review Count
-8.105623,-34.88991,0,0,0,0,364.5,243
-8.10508599999999,-34.886842,21,6,1,1,0.0,0
-8.103678,-34.889167,0,0,0,0,364.5,1377
-8.098265,-34.884039,0,0,0,0,324.0,810
-8.097882,-34.8847,0,0,0,0,405.0,243
-8.062496,-34.872956,11,12,1,1,0.0,0
-8.062421,-34.871131,0,0,0,0,405.0,324
-8.061447,-34.871606,0,0,0,0,1458.0,2268
-8.05615999999999,-34.878349,17,0,1,1,0.0,0
-8.04977,-34.88283,17,2,1,1,0.0,0
-8.047569,-34.897101,0,0,0,0,1458.0,2916
-8.047194,-34.91415,10,4,1,1,0.0,0
-8.045248,-34.89303,0,0,0,0,729.0,648
-8.04438900000001,-34.890618,10,1,1,1,0.0,0
-8.04190899999999,-34.890879,5,5,1,1,0.0,0
-8.040998,-34.916865,0,0,0,0,405.0,324
-8.03475,-34.91197,0,0,0,0,324.0,567
-8.02937,-34.90641,3,11,1,1,0.0,0
-8.00234899999999,-34.839632,13,1,1,1,0.0,0
