Latitude,Longitude,Unnamed: 0.1,Unnamed: 0,Uid,Empty Slots,Free Bikes,Last Updated,Renting Bikes,Returning Bikes,Rating,Review Count
-8.10508599999999,-34.886842,2,2,61.0,21.0,6.0,1663718369.0,1.0,1.0,0.0,0.0
-8.062496,-34.872956,4,4,4.0,11.0,12.0,1663718285.0,1.0,1.0,0.0,0.0
-8.05615999999999,-34.878349,5,5,13.0,17.0,0.0,1663718366.0,1.0,1.0,0.0,0.0
-8.04977,-34.88283,3,3,23.0,17.0,2.0,1663718308.0,1.0,1.0,0.0,0.0
-8.047194,-34.91415,8,8,122.0,10.0,4.0,1663718225.0,1.0,1.0,0.0,0.0
-8.04438900000001,-34.890618,0,0,56.0,10.0,1.0,1663718342.0,1.0,1.0,0.0,0.0
-8.04190899999999,-34.890879,6,6,57.0,5.0,5.0,1663718442.0,1.0,1.0,0.0,0.0
-8.02937,-34.90641,7,7,116.0,3.0,11.0,1663718370.0,1.0,1.0,0.0,0.0
-8.00234899999999,-34.839632,1,1,75.0,13.0,1.0,1663718372.0,1.0,1.0,0.0,0.0
